spike-path-bench steps=10000000 reps=10 dt_us=1000 profile=release
arm=forced rep=1 steps=10000000 spikes=10000000 ns_per_step=13.844
arm=forced rep=2 steps=10000000 spikes=10000000 ns_per_step=12.508
arm=forced rep=3 steps=10000000 spikes=10000000 ns_per_step=13.277
arm=forced rep=4 steps=10000000 spikes=10000000 ns_per_step=14.596
arm=forced rep=5 steps=10000000 spikes=10000000 ns_per_step=13.619
arm=forced rep=6 steps=10000000 spikes=10000000 ns_per_step=15.376
arm=forced rep=7 steps=10000000 spikes=10000000 ns_per_step=14.478
arm=forced rep=8 steps=10000000 spikes=10000000 ns_per_step=13.773
arm=forced rep=9 steps=10000000 spikes=10000000 ns_per_step=15.057
arm=forced rep=10 steps=10000000 spikes=10000000 ns_per_step=12.581
arm=control rep=1 steps=10000000 spikes=0 ns_per_step=12.594
arm=control rep=2 steps=10000000 spikes=0 ns_per_step=10.992
arm=control rep=3 steps=10000000 spikes=0 ns_per_step=10.882
arm=control rep=4 steps=10000000 spikes=0 ns_per_step=10.747
arm=control rep=5 steps=10000000 spikes=0 ns_per_step=12.122
arm=control rep=6 steps=10000000 spikes=0 ns_per_step=12.348
arm=control rep=7 steps=10000000 spikes=0 ns_per_step=12.266
arm=control rep=8 steps=10000000 spikes=0 ns_per_step=12.386
arm=control rep=9 steps=10000000 spikes=0 ns_per_step=12.273
arm=control rep=10 steps=10000000 spikes=0 ns_per_step=10.442
arm=forced min_ns_per_step=12.508 median_ns_per_step=13.809
arm=control min_ns_per_step=10.442 median_ns_per_step=12.194
